IS_TENT,GENDER,AGE,MARITAL_STATUS,PROFESSION
0,M,27,Single,Professional
0,F,39,Married,Other
0,F,39,Married,Other
0,F,56,Unspecified,Hospitality
0,M,45,Married,Retired
0,M,45,Married,Retired
0,F,39,Married,Other
0,F,49,Married,Other
0,F,49,Married,Other
0,M,47,Married,Retired
0,M,47,Married,Retired
0,M,21,Single,Retail
0,F,66,Married,Other
0,F,35,Married,Professional
0,M,20,Single,Sales
0,M,20,Single,Sales
0,M,20,Single,Sales
0,F,37,Single,Other
0,M,42,Married,Other
1,F,24,Married,Retail
0,F,24,Married,Retail
0,M,29,Single,Retail
0,M,29,Single,Retail
1,M,43,Married,Trades
0,M,43,Married,Trades
1,F,43,Unspecified,Hospitality
0,F,43,Unspecified,Hospitality
0,F,43,Unspecified,Hospitality
1,F,43,Unspecified,Hospitality
0,M,29,Single,Other
0,M,41,Married,Professional
0,M,32,Married,Other
0,M,34,Married,Sales
0,F,18,Single,Student
0,F,31,Married,Executive
1,M,28,Single,Trades
0,F,24,Single,Student
1,F,29,Single,Other
0,F,29,Single,Other
0,F,68,Unspecified,Hospitality
1,M,42,Married,Trades
0,M,42,Married,Trades
1,F,33,Married,Hospitality
0,F,33,Married,Hospitality
0,F,33,Married,Hospitality
0,F,54,Married,Other
0,F,54,Married,Other
0,F,54,Married,Other
0,M,38,Married,Executive
0,M,38,Married,Executive
0,M,38,Married,Executive
1,M,24,Single,Other
0,F,24,Unspecified,Other
0,F,24,Unspecified,Other
0,F,20,Single,Retail
0,F,20,Single,Retail
0,F,29,Single,Professional
0,M,40,Married,Other
0,F,49,Unspecified,Hospitality
0,F,26,Single,Other
0,F,51,Unspecified,Hospitality
0,M,29,Single,Professional
0,F,33,Married,Executive
0,M,47,Married,Professional
0,F,38,Married,Other
0,F,39,Married,Executive
0,M,29,Single,Professional
0,M,29,Single,Professional
0,F,33,Married,Executive
0,F,20,Single,Professional
0,M,31,Married,Other
0,F,31,Single,Other
0,F,42,Married,Other
0,F,42,Married,Other
0,F,42,Married,Other
1,M,21,Single,Trades
0,F,65,Married,Other
0,F,65,Married,Other
0,F,41,Unspecified,Hospitality
0,F,41,Unspecified,Hospitality
0,M,17,Single,Student
0,M,55,Married,Trades
0,M,55,Married,Trades
0,M,55,Married,Trades
0,M,55,Married,Trades
0,F,52,Married,Executive
0,M,35,Married,Trades
0,F,34,Single,Retail
1,M,25,Single,Other
0,M,25,Single,Other
0,M,25,Single,Other
0,F,18,Single,Retail
0,F,19,Single,Other
0,M,36,Single,Professional
0,M,33,Married,Professional
1,M,33,Married,Sales
0,F,30,Single,Professional
0,F,29,Single,Other
0,F,29,Single,Other
0,M,21,Single,Sales
0,M,21,Single,Sales
0,F,44,Married,Other
0,M,21,Single,Student
0,M,21,Single,Student
0,M,46,Married,Trades
0,F,47,Married,Sales
0,F,34,Single,Professional
0,F,24,Single,Professional
0,F,27,Single,Retail
0,F,28,Single,Professional
0,M,26,Married,Other
0,M,26,Married,Other
0,M,29,Single,Professional
0,M,29,Single,Professional
0,M,29,Single,Professional
0,F,23,Single,Professional
0,M,27,Single,Other
0,F,26,Married,Executive
0,F,26,Married,Executive
0,F,20,Single,Other
0,M,26,Single,Other
0,M,33,Married,Other
0,M,33,Married,Other
0,F,19,Single,Other
0,F,19,Single,Other
1,F,26,Married,Other
0,F,26,Married,Other
0,F,40,Married,Other
0,F,40,Married,Other
0,F,40,Married,Other
0,M,40,Single,Other
0,M,40,Single,Other
1,M,40,Single,Other
0,M,40,Single,Other
0,M,40,Single,Other
0,M,44,Single,Other
0,M,44,Single,Other
0,M,43,Married,Trades
0,M,43,Married,Trades
0,F,24,Single,Retail
0,M,28,Unspecified,Sales
0,F,22,Single,Professional
0,F,20,Married,Retail
0,F,46,Married,Retail
0,M,31,Unspecified,Sales
0,M,31,Unspecified,Sales
0,M,31,Unspecified,Sales
0,M,31,Unspecified,Sales
0,M,31,Unspecified,Sales
0,F,23,Single,Student
0,F,23,Single,Student
0,F,37,Married,Other
0,F,37,Married,Other
0,F,50,Married,Other
0,F,18,Single,Student
0,M,30,Single,Trades
0,F,67,Married,Other
0,M,30,Married,Other
0,M,24,Single,Professional
0,F,31,Married,Other
0,F,31,Married,Other
0,M,35,Married,Other
0,M,41,Married,Trades
0,M,41,Married,Trades
0,F,25,Single,Other
0,F,23,Single,Other
0,F,25,Single,Other
0,F,30,Married,Hospitality
0,M,49,Unspecified,Trades
0,M,39,Married,Other
1,F,34,Married,Other
0,F,34,Married,Other
1,M,28,Single,Student
0,F,42,Married,Other
0,F,27,Single,Other
1,M,25,Single,Professional
0,M,55,Married,Other
0,M,27,Married,Other
0,M,27,Married,Other
0,F,19,Single,Professional
0,M,50,Married,Professional
0,F,33,Married,Other
0,F,33,Married,Other
0,M,35,Married,Sales
0,M,26,Married,Sales
0,M,26,Married,Sales
0,F,31,Married,Retail
0,F,31,Married,Retail
1,M,42,Married,Sales
0,M,42,Married,Sales
0,F,40,Married,Other
0,F,40,Married,Other
0,F,21,Married,Other
0,F,19,Single,Other
0,F,43,Married,Other
0,F,43,Married,Other
0,F,31,Married,Other
0,F,31,Married,Other
0,F,49,Married,Executive
0,F,49,Married,Executive
0,M,43,Married,Trades
0,M,43,Married,Trades
1,F,29,Single,Hospitality
